No,Lokasi,Kecamatan,Tipe Hunian,Kondisi,Luas Tanah,Luas Bangunan,Kepemilikan,Lebar Jalan,Jumlah Lantai,Jumlah KT,Jumlah KM,Garasi,Daya Listrik,Rooftop,Sumber Air,Tipe Furnish,Harga
82,SURABAYA,CITRALAND,LANDED HOUSE,BARU,264,399,HGB,4,3,4,4,ADA,2200,TIDAK,PDAM,NON FURNISH,7200000000
83,SURABAYA,CITRALAND,LANDED HOUSE,BARU,197,405,HGB,4,3,6,6,ADA,4400,ADA,PDAM,NON FURNISH,6000000000
84,SURABAYA,CITRALAND,LANDED HOUSE,BARU,240,580,HGB,3,3,5,6,ADA,5500,TIDAK,PDAM,NON FURNISH,8100000000
85,SURABAYA,GAYUNGAN,APARTEMENTT,BARU,64,64,HGB,4,1,2,2,ADA,2200,TIDAK ,PDAM,NON FURNISH,750000000
86,KOTA BANDUNG,PAJAJARAN,APARTEMENTT,BEKAS,152,152,HGB,4,1,3,2,ADA,4400,TIDAK,PDAM,FULL FURNISH,3000000000
87,KOTA BANDUNG,CIUMBULEUIT,APARTEMENTT,BEKAS,35,35,SHM,4,2,1,1,ADA,2200,TIDAK ,PDAM,FULL FURNISH,1000000000
88,KOTA BANDUNG,PAPAJARAN,APARTEMENTT,BEKAS,63,63,SHM,4,1,2,1,ADA,2200,TIDAK,SUMUR BOR,FULL FURNISH,1250000000
89,KOTA BANDUNG,PASIR KALIKI,APARTEMENTT,BEKAS,90,90,SHM,4,1,3,3,ADA,2200,TIDAK ,SUMUR BOR,FULL FURNISH,2300000000
90,KOTA BANDUNG,CIDADAP,APARTEMENTT,BEKAS,126,126,HGB,4,1,3,2,ADA,2200,TIDAK,SUMUR BOR,FULL FURNISH,3250000000
91,KOTA BANDUNG,BUAH BATU,LANDED HOUSE,BARU,60,40,SHM,8,1,2,1,ADA,1300,TIDAK,PDAM,SEMI FURNISHED,297000000
92,KOTA BEKASI,MEDAN SATRIA,LANDED HOUSE,BARU,100,150,SHM,4,2,3,2,ADA,2200,ADA,PDAM,NON FURNISHED,1600000000
93,KOTA BANDUNG,SARIJADI,LANDED HOUSE,BEKAS,85,75,SHM,3,2,4,1,TIDAK,1300,TIDAK,PDAM,NON FURNISHED,650000000
94,SEMARANG,GUNUNG PATI,LANDED HOUSE,BARU,120,65,SHM,4,1,2,1,ADA,1300,TIDAK,PDAM,NON FURNISHED,500000000
95,TANGGERANG SELATAN,PONDOK AREN,LANDED HOUSE,BEKAS,3000,750,SHM,5,2,4,4,ADA,16000,ADA,PAM,SEMI FURNISHED,3700000000
96,GADING SEONG,TANGERANG,LANDED HOUSE,BARU,57,63,SHM,4,2,3,3,ADA,2200,TIDAK,PDAM,NON FURNISHED,650000000
97,KOTA BANDUNG,PASIR KALIKI,LANDED HOUSE,BARU,139,180,SHM,6,2,4,3,ADA,1300,ADA,PDAM,NON FURNISHED,3500000000
98,KOTA BEKASI,JATI BENING,LANDED HOUSE,BARU,51,63,SHM,3,2,3,2,ADA,2200,ADA,PDAM,NON FURNISHED,700000000
99,JAKARTA SELATAN,PONDOK INDAH,LANDED HOUSE,BEKAS,602,477,SHM,4,2,6,4,ADA,10600,TIDAK,PDAM,SEMI FURNISHED,19500000000
100,JAKARTA TIMUR,CIPINANG,LANDED HOUSE,BARU,37,56,SHM,4,2,2,2,ADA,2200,ADA,PDAM,NON FURNISHED,1250000000
101,KOTA BANDUNG,KOTA BARU PARAHYANGAN,LANDED HOUSE,BARU,189,200,SHM,4,2,4,3,ADA,2200,TIDAK,PDAM,SEMI FURNISHED,2800000000
102,KOTA BOGOR,SENTUL CITY,LANDED HOUSE,BARU,735,285,HGB,6,2,4,3,ADA,33000,TIDAK,PDAM,SEMI FURNISHED,1500000000
103,KOTA BOGOR,SUMMARECON KOTA BOGOR,LANDED HOUSE,BARU,216,307,SHM,4,2,4,4,ADA,4400,TIDAK,PDAM,NON FURNISHED,5650000000
104,KOTA BANDUNG,KOTA BARU PARAHYANGAN,LANDED HOUSE,BEKAS,126,110,SHM,4,2,2,2,ADA,3500,TIDAK,PDAM,FULL FURNISHED,2450000000
105,KOTA BANDUNG,CIBADUYUT,LANDED HOUSE,BEKAS,70,50,SHM,9,1,2,2,TIDAK,1300,TIDAK,SUMUR BOR,NON FURNISHED,274000000
106,KOTA BANDUNG,CIHAMPELAS,LANDED HOUSE,BEKAS,172,160,SHM,6,1,4,2,ADA,2200,TIDAK,PDAM,NON FURNISHED,235000000
107,KOTA BANDUNG,KATAPANG,LANDED HOUSE,BEKAS,84,50,SHM,5,1,1,1,TIDAK,1300,TIDAK,SUMUR BOR,SEMI FURNISHED,301000000
108,KOTA BANDUNG,CIUMBULEUIT,APARTEMENTT,BEKAS,70,35,SHM,6,1,2,1,TIDAK,1300,TIDAK,PDAM,SEMI FURNISHED,570000000
109,SEMARANG,KALICARI,LANDED HOUSE,BARU,90,65,SHM,4,1,3,1,TIDAK,1300,TIDAK,SUMUR BOR,NON FURNISHED,650000000
110,SEMARANG,GUNUNG PATI,LANDED HOUSE,BARU,120,45,SHM,9,1,2,1,TIDAK,1300,TIDAK,SUMUR BOR,SEMI FURNISHED,497000000
111,SEMARANG,TEMBALANG,LANDED HOUSE,BARU,87,30,SHM,9,1,2,1,ADA,1300,TIDAK,SUMUR BOR,SEMI FURNISHED,790000000
